,Neighborhoods,Latitudes,Longitudes,Prices(sqft)
610,Jharoda Kalan,,,nan
611,Johripur,,,nan
612,Kakrola,,,6296.3
613,Kalu Sarai,,,25713.38
614,Khirki Extension Panchsheel Vi,,,nan
615,Kishangarh Mehrauli Road,,,5555.56
616,Lok Vihar,,,nan
617,M Block Road,,,nan
618,Mahipalpur Extension,,,4843.21
619,Maidan Gari Extension,,,nan
620,Nasirpur,,,8892.86
621,Navin Shahdara,,,9565.22
622,Nilothi,,,nan
623,Okhla Industrial Area,,,nan
624,Panchsheel,,,nan
625,Pitampura Vaishali,,,nan
626,Rana Pratap Bagh,,,nan
627,Sarai Rohilla,,,3157.89
628,Sector 111,,,10260.67
629,Sector 8 Dwarka Block B,,,10526.32
630,Sector-28 Rohini,,,5798.52
631,Sector24,,,10142.86
632,Sector36 Rohini,,,nan
633,SectorB Vasant Kunj,,,14285.71
634,Sewa Nagar,,,6166.67
635,Shaheen Bagh Jasola Vihar,,,nan
636,Shakurpur,,,2471.91
637,Sukh Ram Park,,,nan
638,Sunder Vihar,,,nan
639,Vikas Lane,,,nan
640,Vinod Nagar West,,,nan
641,Shadipur,,,20636.36
642,Trilokpuri,,,nan
643,Aerocity,,,4391.01
644,Bharat Vihar,,,4383.33
645,Bhogal,,,nan
646,Block D Lajpat Nagar I,,,nan
647,Block G,,,nan
648,Chitra Vihar,,,11877.01
649,Defence Colony Flyover,,,53722.18
650,Delhi Cantonment,,,8437.5
651,Delhi Jaipur Highway,,,211.9
652,Delhi Noida Direct Flyway,,,nan
653,Diplomatic Enclave,,,nan
654,duggal housing complex,,,3871.83
655,Ferozshah Road,,,2558.82
656,Gali Number 12,,,nan
657,Indra Vihar,,,nan
658,Jogabai Extension New Delhi,,,nan
659,Karala,,,3424.66
660,KHIRKI VILLAGE,,,nan
661,Lajpat Nagar Vinoba Puri,,,nan
662,Mansa Ram Park park Path,,,3500
663,Mayur Vihar 1 Extension,,,nan
664,Model Town Phase-3,,,nan
665,Model Town Phase2,,,nan
666,Nanhey Park Om Vihar,,,nan
667,Nihal Vihar Delhi,,,nan
668,Nirankari Colony,,,nan
669,Pochanpur Colony,,,6263.89
670,Priyadarshani Vihar,,,nan
671,Pul Pehlad Pur,,,nan
672,Raj Nagar 2 Palam Colony,,,nan
673,Rajokri,,,nan
674,ramphal chowk,,,nan
675,S D A New,,,nan
676,Sadar Bazaar,,,5166.93
677,Saket Sports Complex Road,,,nan
678,Sector 103,,,4526.7
679,Sector 37 Rohini,,,3000
680,Sector 9,,,13750
681,Sector-29 Rohini,,,nan
682,Sheikh Sarai Phase2 New Delhi,,,12513.91
683,Sonia Vihar,,,2545.45
684,South Patel Nagar,,,13333.33
685,Subash Park New Delhi,,,nan
686,Vasant Enclave,,,13221.54
687,Vasant Vihar C Block,,,40000
688,Vijay Enclave,,,nan
689,Jaunapur,,,nan
690,Batla House New Delhi,,,376.92
691,Bhai Parmanand Colony,,,nan
692,Block AP Poorvi Pitampura,,,13257.08
693,Block E,,,nan
694,Block F Pandav Nagar Road,,,nan
695,Block G Vishwakarma Park,,,nan
696,Block Wb Ganesh Nagar II,,,nan
697,Chandni Chowk,,,8230.45
698,Dr Mukherji Nagar,,,nan
699,Dwarka Sector 12 Pocket 8,,,nan
700,Fatehpurberi,,,8869.05
701,Gali Number 10,,,nan
702,Gali Number 3,,,nan
703,Govind Puri Giri Nagar,,,nan
704,Govindpuri Extension New Delhi,,,4166.67
705,Hari Nagar Ashram,,,nan
706,Ishwar nagar,,,11666.67
707,Jahangir Puri,,,6709.35
708,Jeevan Park,,,nan
709,Jharoda Majra Burari,,,nan
710,Khanpur Colony,,,4100
711,Khirki Extension New Colony,,,nan
712,Khirki Extension Road,,,nan
713,Kirari Suleman Nagar,,,nan
714,Krishna Puri,,,nan
715,Manas Kunj Road,,,nan
716,Mandoli,,,nan
717,Mohan Co operative,,,nan
718,Mohan Cooperative Industrial E,,,nan
719,Naharpur Village,,,2777.78
720,Nand Ram Park Uttam Nagar,,,nan
721,North Block Road,,,nan
722,Pankha Road,,,6000
723,Paschim Vihar Block A 5,,,nan
724,Pocket 7 Dwarka Sector 12,,,8536.63
725,Prahladpur,,,nan
726,Rajender Nagar Part 1,,,nan
727,Sector 11,,,9190.97
728,Sector 12,,,13166.78
729,Sector 39 Rohini,,,nan
730,Sector C Vasant Kunj,,,40625
731,Sitapuri,,,4444.44
732,Sonepat,,,3390.63
733,Surajmal Vihar,,,21666.67
734,Vikram Vihar,,,nan
735,Westend DLF Chattarpur Farms,,,nan
736,Westend Marg,,,nan
737,62 Noida Bridge,,,nan
738,Adarsh Nagar,,,nan
739,Ali Village,,,6976.74
740,Barakhamba Road,,,nan
741,Bhola Nath Nagar,,,nan
742,Block B,,,nan
743,Block C,,,nan
744,Block C Krishan Kunj,,,nan
745,Block C Lajpat Nagar I,,,nan
746,Burari Garhi,,,4817.3
747,c 1 vasant kunj,,,nan
748,CA Apartments,,,109.74
749,Chanakya Place,,,nan
750,Chandra Park,,,3902.11
751,DaryaGanj,,,9272.73
752,Double Storey New Rajinder Nag,,,nan
753,Dwarka Mor Vipin Garden Extens,,,nan
754,East of Kailash C Block,,,nan
755,Freedom Fighter Vihar,,,5000
756,Gali Number 11,,,nan
757,Gali Number 5,,,nan
758,Gazipur,,,10540.11
759,Gokalpur,,,nan
760,Harsh Vihar,,,nan
